# System controls
panel_mode	Performance, Patch, GM
cont_3_dest_1	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_3_depth_1	-63 to +63 (0-126)
cont_3_dest_2	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_3_depth_2	-63 to +63 (0-126)
cont_3_dest_3	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_3_depth_3	-63 to +63 (0-126)
cont_3_dest_4	Off, PCH, Cut, Res, Lev, Pan, Mix, Chorus, Reverb, PL1, PL2, FL1, FL2, AL1, AL2, pL1, pL2, L1R, L2R
cont_3_depth_4	-63 to +63 (0-126)
LFO_1_waveform	Delta, Sine, Sawtooth, Square, Trapezoidal, Sample&Hold, Random, Chaotic
LFO_1_key_trigger	Off, On
LFO_1_rate	0-127
LFO_1_level_offset	-100, -50, 0, +50, +100
LFO_1_delay_time	0-127
LFO_1_fade_mode		OnIn, OnOut, OffIn, OffOut
LFO_1_fade_time		0-127
LFO_1_ext_sync	Off, Clock, Tap
LFO_2_waveform	Delta, Sine, Sawtooth, Square, Trapezoidal, Sample&Hold, Random, Chaotic
LFO_2_key_trigger	Off, On
LFO_2_rate	0-127
LFO_2_level_offset	-100, -50, 0, +50, +100
LFO_2_delay_time	0-127
LFO_2_fade_mode		OnIn, OnOut, OffIn, OffOut
LFO_2_fade_time		0-127
LFO_2_ext_sync	Off, Clock, Tap
coarse_tune	-48 to +48 (0-96)
fine_tune	-50 to +50 (0-100)
random_pitch_depth	0,1,2,3,4,5,6,7,8,9,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,1100,1200
pitch_keyfollow	-100,-70,-50,-30,-10,0,+10,+20,+30,+40,+50,+70,+100,+120,+150,+200
P_ENV_depth	-12 to +12 (0-24)
P_ENV_veloc_sens	-100 to +150 (0-125)
P_ENV_veloc_time1_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
P_ENV_veloc_time4_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
P_ENV_veloc_time_keyfollow		-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
P_ENV_time1	0-127
P_ENV_time2	0-127
P_ENV_time3	0-127
P_ENV_time4	0-127
P_ENV_level1	-63 to +63 (0-126)
P_ENV_level2	-63 to +63 (0-126)
P_ENV_level3	-63 to +63 (0-126)
P_ENV_level4	-63 to +63 (0-126)
pitch_LFO_1_depth	-63 to +63 (0-126)
pitch_LFO_2_depth	-63 to +63 (0-126)
filter_type	Off, LoPass, BandPass, HighPass, Peaking
cutoff_freq	0-127
cutoff_keyfollow	-100,-70,-50,-30,-10,0,+10,+20,+30,+40,+50,+70,+100,+120,+150,+200
resonance	0-127
resonance_veloc_sens	-100 to +150 (0-125)
F_ENV_depth	-63 to +63 (0-126)
F_ENV_veloc_curve	1 to 7 (0-6)
F_ENV_veloc_sens	-100 to +150 (0-125)
F_ENV_veloc_time_1_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
F_ENV_veloc_time_4_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
F_ENV_time_keyfollow	-100,-70,-50,-30,-10,0,+10,+20,+30,+40,+50,+70,+100,+120,+150,+200
F_ENV_time1	0-127
F_ENV_time2	0-127
F_ENV_time3	0-127
F_ENV_time4	0-127
F_ENV_level1	-63 to +63 (0-126)
F_ENV_level2	-63 to +63 (0-126)
F_ENV_level3	-63 to +63 (0-126)
F_ENV_level4	-63 to +63 (0-126)
filter_LFO_1_depth	-63 to +63 (0-126)
filter_LFO_2_depth	-63 to +63 (0-126)
tone_level	0-127
bias_direction	Lower, Upper, Lower/Upper, All
bias_point	C1 to G9 (0-127)
bias_level	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
A_ENV_veloc_curve	1 to 7 (0-6)
A_ENV_veloc_sens	-100 to +150 (0-125)
A_ENV_veloc_time_1_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
A_ENV_veloc_time_4_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
A_ENV_time_keyfollow	-100,-70,-50,-30,-10,0,+10,+20,+30,+40,+50,+70,+100,+120,+150,+200
A_ENV_time1	0-127
A_ENV_time2	0-127
A_ENV_time3	0-127
A_ENV_time4	0-127
A_ENV_level1	-63 to +63 (0-126)
A_ENV_level2	-63 to +63 (0-126)
A_ENV_level3	-63 to +63 (0-126)
A_ENV_level4	-63 to +63 (0-126)
amplitude_LFO_1_depth	-63 to +63 (0-126)
amplitude_LFO_2_depth	-63 to +63 (0-126)
tone_pan	L64 to R63 (0-127)
pan_keyfollow	-100,-70,-50,-30,-10,0,+10,+20,+30,+40,+50,+70,+100,+120,+150,+200
random_pan_depth	0-63
alt_pan_depth	L63 to R63 (1-127)
pan_LFO_1_depth	-63 to +63 (0-126)
pan_LFO_2_depth	-63 to +63 (0-126)
output_assign	Mix, EFX, Output1, Output2		
output_level	0-127
chorus_level	0-127
reverb_level	0-127

# Rhythm controls
name	12 characters

# Rhythm Note controls
tone_switch	Off, On
wave_group	Internal, DataCard, Expansion
wave_group_id	0-127
wave_num	1-255 (0-254)
wave_gain	-6, 0, +6, +12
bender_range	0-12
mute_group	Off, 1-31
envelope_mode	No-sustain, Sustain
volume_control	Off, On
hold_1_control	Off, On
pan_control	Off, Continuous, KeyOn
source_key	C1 to G9 (0-127)
fine_tune	-50 to +50 (0-100)
random_pitch_depth	0,1,2,3,4,5,6,7,8,9,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,1100,1200
P_ENV_depth	-12 to +12 (0-24)
P_ENV_veloc_sens	-100 to +150 (0-125)
P_ENV_veloc_time_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
P_ENV_time1	0-127
P_ENV_time2	0-127
P_ENV_time3	0-127
P_ENV_time4	0-127
P_ENV_level1	-63 to +63 (0-126)
P_ENV_level2	-63 to +63 (0-126)
P_ENV_level3	-63 to +63 (0-126)
P_ENV_level4	-63 to +63 (0-126)
filter_type	Off, LoPass, BandPass, HighPass, Peaking
cutoff_freq	0-127
resonance	0-127
resonance_veloc_sens	-100 to +150 (0-125)
F_ENV_depth	-63 to +63 (0-126)
F_ENV_veloc_sens	-100 to +150 (0-125)
F_ENV_veloc_time_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
F_ENV_time1	0-127
F_ENV_time2	0-127
F_ENV_time3	0-127
F_ENV_time4	0-127
F_ENV_level1	-63 to +63 (0-126)
F_ENV_level2	-63 to +63 (0-126)
F_ENV_level3	-63 to +63 (0-126)
F_ENV_level4	-63 to +63 (0-126)
tone_level	0-127
A_ENV_veloc_sens	-100 to +150 (0-125)
A_ENV_veloc_time_sens	-100,-70,-50,-40,-30,-20,-10,0,+10,+20,+30,+40,+50,+70,+100
A_ENV_time_keyfollow	-100,-70,-50,-30,-10,0,+10,+20,+30,+40,+50,+70,+100,+120,+150,+200
A_ENV_time1	0-127
A_ENV_time2	0-127
A_ENV_time3	0-127
A_ENV_time4	0-127
A_ENV_level1	-63 to +63 (0-126)
A_ENV_level2	-63 to +63 (0-126)
A_ENV_level3	-63 to +63 (0-126)
tone_pan	L64 to R63 (0-127)
random_pan_depth	0-63
alt_pan_depth		L63 to R63 (1-127)
output_assign	Mix, EFX, Output1, Output2		
output_level	0-127
chorus_level	0-127
reverb_level	0-127
