4,Brass Sect,PR-C
5,Trombone,PR-C
6,Hybrid Bones,PR-C
7,Noble Horns,PR-C
8,Massed Horns,PR-C
9,Horn Swell,PR-C
10,Brass It!,PR-C
11,Brass Attack,PR-C
12,Archimede,PR-C
13,Rugby Horn,PR-C
14,MKS-80 Brass,PR-C
15,True ANALOG,PR-C
16,Dark Vox,PR-C
17,RandomVowels,PR-C
18,Angels Sing,PR-C
19,Pvox Oooze,PR-C
20,Longing...,PR-C
21,Arasian Morn,PR-C
22,Beauty Vox,PR-C
23,Mary-AnneVox,PR-C
24,Belltree Vox,PR-C
25,Vox Panner,PR-C
26,Spaced Voxx,PR-C
27,Glass Voices,PR-C
28,Tubular Vox,PR-C
29,Velo Voxx,PR-C
30,Wavox,PR-C
31,Doos,PR-C
32,Synvox Comps,PR-C
33,Vocal Oohz,PR-C
34,LFO Vox,PR-C
35,St.Strings,PR-C
36,Warm Strings,PR-C
37,Somber Str,PR-C
38,Marcato,PR-C
39,Bright Str,PR-C
40,String Ens,PR-C
41,TremoloStrng,PR-C
42,Chambers,PR-C
43,ViolinCello,PR-C
44,Symphonique,PR-C
45,Film Octaves,PR-C
46,Film Layers,PR-C
47,Bass Pizz,PR-C
48,Real Pizz,PR-C
49,Harp On It,PR-C
50,Harp,PR-C
51,JP-8 Str 1,PR-C
52,JP-8 Str 2,PR-C
53,E-Motion Pad,PR-C
54,JP-8 Str 3,PR-C
55,Vintage Orch,PR-C
56,JUNO Strings,PR-C
57,Gigantalog,PR-C
58,PWM Strings,PR-C
59,Warmth,PR-C
60,ORBit Pad,PR-C
61,Deep Strings,PR-C
62,Pulsify,PR-C
63,Pulse Pad,PR-C
64,Greek Power,PR-C
65,Harmonicum,PR-C
66,D-50 Heaven,PR-C
67,Afro Horns,PR-C
68,Pop Pad,PR-C
69,Dreamesque,PR-C
70,Square Pad,PR-C
71,JP-8 Hollow,PR-C
72,JP-8Haunting,PR-C
73,Heirborne,PR-C
74,Hush Pad,PR-C
75,Jet Pad 1,PR-C
76,Jet Pad 2,PR-C
77,Phaze Pad,PR-C
78,Phaze Str,PR-C
79,Jet Str Ens,PR-C
80,Pivotal Pad,PR-C
81,3D Flanged,PR-C
82,Fantawine,PR-C
83,Glassy Pad,PR-C
84,Moving Glass,PR-C
85,Glasswaves,PR-C
86,Shiny Pad,PR-C
87,ShiftedGlass,PR-C
88,Chime Pad,PR-C
89,Spin Pad,PR-C
90,Rotary Pad,PR-C
91,Dawn 2 Dusk,PR-C
92,Aurora,PR-C
93,Strobe Mode,PR-C
94,Albion,PR-C
95,Running Pad,PR-C
96,Stepped Pad,PR-C
97,Random Pad,PR-C
98,SoundtrkDANC,PR-C
99,Flying Waltz,PR-C
100,Vanishing,PR-C
101,5th Sweep,PR-C
102,Phazweep,PR-C
103,Big BPF,PR-C
104,MG Sweep,PR-C
105,CeremonyTimp,PR-C
106,Dyno Toms,PR-C
107,Sands ofTime,PR-C
108,Inertia,PR-C
109,Vektogram,PR-C
110,Crash Pad,PR-C
111,Feedback VOX,PR-C
112,Cascade,PR-C
113,Shattered,PR-C
114,NextFrontier,PR-C
115,Pure Tibet,PR-C
116,Chime Wash,PR-C
117,Night Shade,PR-C
118,Tortured,PR-C
119,Dissimilate,PR-C
120,Dunes,PR-C
121,Ocean Floor,PR-C
122,Cyber Space,PR-C
123,Biosphere,PR-C
124,Variable Run,PR-C
125,Ice Hall,PR-C
126,ComputerRoom,PR-C
127,Inverted,PR-C
128,Terminate,PR-C
1,Piano 1,PR-D
2,Piano 2,PR-D
3,Piano 3,PR-D
4,Honky-tonk,PR-D
5,E.Piano 1,PR-D
6,E.Piano 2,PR-D
7,Harpsichord,PR-D
8,Clav.,PR-D
9,Celesta,PR-D
10,Glockenspiel,PR-D
11,Music Box,PR-D
12,Vibraphone,PR-D
13,Marimba,PR-D
14,Xylophone,PR-D
15,Tubular-bell,PR-D
16,Santur,PR-D
17,Organ 1,PR-D
18,Organ 2,PR-D
19,Organ 3,PR-D
20,Church Org.1,PR-D
21,Reed Organ,PR-D
22,Accordion Fr,PR-D
23,Harmonica,PR-D
24,Bandoneon,PR-D
25,Nylon-str.Gt,PR-D
26,Steel-str.Gt,PR-D
27,Jazz Gt.,PR-D
28,Clean Gt.,PR-D
29,Muted Gt.,PR-D
30,Overdrive Gt,PR-D
31,DistortionGt,PR-D
32,Gt.Harmonics,PR-D
33,Acoustic Bs.,PR-D
34,Fingered Bs.,PR-D
35,Picked Bs.,PR-D
36,Fretless Bs.,PR-D
37,Slap Bass 1,PR-D
38,Slap Bass 2,PR-D
39,Synth Bass 1,PR-D
40,Synth Bass 2,PR-D
